title,source,category,sentiment_score,date
Người đàn ông Venezuela sống sót sau 8 ngày kẹt dưới đống đổ nát,VnExpress,News,0.0,
Vỡ mộng vì đặt niềm tin vào tiền số thương hiệu Trump,VnExpress,News,0.0,
"Loạt tên lửa Iskander, Zircon vượt qua lưới phòng không Ukraine",VnExpress,News,0.0,
Góc khuất thị trường bẻ xương kéo dài chân ở Trung Quốc,VnExpress,News,0.0,
Phi công máy bay đâm vào tòa nhà ở Bắc Kinh từng có ý định tự tử,VnExpress,News,0.0,
"Bé trai lao xe vào đoàn hành hương, 8 nhà sư thiệt mạng",VnExpress,News,0.0,
Phó thủ tướng Cuba: Mỹ đánh giá thấp sự kiên cường của chúng tôi,VnExpress,News,0.0,
"Nga có thể đã triển khai Su-57 đối phó UAV, tên lửa Ukraine",VnExpress,News,0.0,
Phe MAGA đề xuất cấm phụ nữ nước ngoài mang thai đến Mỹ,VnExpress,News,0.0,
Giải cứu 16 trẻ em bị nhốt 4 năm trong phòng 'đầy chất thải' ở Mỹ,VnExpress,News,0.0,
Lễ ký sắc lệnh biến thành khẩu chiến ở Phòng Bầu dục,VnExpress,News,0.4166666666666667,
Trợ lý Nhà Trắng khoe nội thất chuyên cơ Không lực Một mới,VnExpress,News,0.0,
Biệt đội bí mật Ukraine chuyên tập kích sâu vào lãnh thổ Nga,VnExpress,News,0.0,
"Nga phóng hàng chục tên lửa vào Kiev, gây loạt vụ nổ lớn",VnExpress,News,0.0,
CĐV World Cup ngủ trong xe cắm trại vì giá khách sạn đắt đỏ,VnExpress,News,0.0,
Đại sứ Mỹ Jennifer Wicks đến Việt Nam,VnExpress,News,0.0,
Hai người Nga cầu hôn trên đỉnh tòa nhà 102 tầng ở Mỹ,VnExpress,News,0.13636363636363635,
"Gần 2.300 người chết do động đất kép, Venezuela tuyên bố quốc tang",VnExpress,News,0.0,
Trực thăng Mỹ hạ cánh khẩn xuống vùng biển gần Iran,VnExpress,News,0.0,
Iran muốn dùng tài sản đóng băng để mua hàng thiết yếu,VnExpress,News,0.0,
"Ông Trump lên tiếng về khoản thu gần 1,2 tỷ USD từ tiền số",VnExpress,News,0.0,
Ông Trump 'háo hức' với chuyến bay đầu tiên trên Không lực Một mới,VnExpress,News,0.0,
Cách Tòa Tối cao Mỹ vẽ lại ranh giới quyền lực của ông Trump,VnExpress,News,0.0,
Quyết định 'án binh bất động' khiến phi cơ Italy hứng đòn của Iran,VnExpress,News,0.0,
Tổng thống Mỹ nói đàm phán với Iran 'rất tốt',VnExpress,News,0.0,
Ukraine tuyên bố tập kích nhà máy lọc dầu Nga lần thứ hai trong tuần,VnExpress,News,0.0,
Tòa Tối cao Mỹ cho phép cấm người chuyển giới trong thể thao học đường,VnExpress,News,0.0,
Nga tìm cách nhập xăng dầu sau loạt đòn tập kích của Ukraine,VnExpress,News,0.0,
Khủng hoảng Hormuz làm lung lay liên minh Mỹ - Arab Saudi,VnExpress,News,0.0,
Nắng nóng bao trùm nhiều nơi ở Mỹ trước quốc khánh,VnExpress,News,0.0,
Iran phát hiện 'tàu hàng mắc cạn' tại Hormuz,VnExpress,News,0.0,
Ba người chết ngạt trong lễ ăn mừng World Cup ở Mexico,VnExpress,News,0.0,
Quốc hội Mỹ sắp có nữ nghị sĩ Gen Z đầu tiên,VnExpress,News,0.0,
Hạ viện Mỹ đóng cửa nghỉ lễ sớm vì lục đục của phe Cộng hòa,VnExpress,News,0.0,
"Trung tâm dạy thêm sập mái, 14 học sinh thiệt mạng",VnExpress,News,0.0,
UAV Trung Quốc cất cánh từ máy phóng điện từ gắn trên xe tải,VnExpress,News,0.0,
"Máy bay phát nhầm báo động không tặc, loạt nước điều tiêm kích giám sát",VnExpress,News,0.0,
Mỹ sẽ ưu tiên truy quét các đường dây 'du lịch sinh con',VnExpress,News,0.0,
"Làn sóng AI làm cuộc sống đắt đỏ, nhiều nhân sự công nghệ tính rời San Francisco",VnExpress,News,0.0,
Những người châu Âu cự tuyệt điều hòa giữa nắng nóng kỷ lục,VnExpress,News,0.0,
Mỹ triển khai loạt UAV do thám hỗ trợ Venezuela sau động đất,VnExpress,News,0.0,
'Nhà tiên tri World Cup' xin lỗi Hà Lan,VnExpress,News,0.0,
Cơn bão chính trị sau thất bại World Cup của Hàn Quốc,VnExpress,News,0.0,
Mỹ sắp biến chiến hạm tỷ đô thành bia tập bắn,VnExpress,News,0.0,
